Nro1;Nro2;Nro3;Nro4;Nro5;Star1;Star2
5;8;21;37;46;6;8
5;7;12;19;26;1;5
7;8;34;36;38;4;5
5;11;12;27;32;1;3
10;16;30;41;45;2;8
10;13;19;40;45;3;5
29;30;35;41;45;3;5
15;21;38;39;47;1;5
12;18;43;44;46;4;5
4;11;26;32;41;5;7
11;28;34;37;38;3;7
10;15;16;36;44;7;8
6;10;17;18;42;1;3
13;14;16;47;49;1;7
5;8;19;33;36;2;3
10;22;24;33;38;2;6
8;12;27;31;37;3;6
6;9;13;14;25;1;8
9;22;23;34;35;1;3
12;15;18;24;25;4;5
6;11;40;46;48;3;6
3;16;30;34;35;2;5
9;20;21;33;49;5;7
8;22;28;40;42;4;8
15;23;25;46;49;2;4
10;14;15;24;47;4;8
18;29;41;44;49;1;5
5;14;16;34;39;1;6
26;28;40;49;50;2;7
6;11;17;43;49;4;8
6;14;18;19;48;3;8
7;17;18;19;22;4;5
3;5;7;12;31;5;7
25;29;38;41;44;3;8
1;4;7;21;26;4;7
1;21;32;36;50;2;5
2;13;21;24;37;6;7
13;20;22;27;42;3;5
17;28;31;35;39;5;8
11;20;24;25;35;4;8
5;8;22;32;39;7;8
6;20;29;40;45;5;8
6;31;37;41;49;2;3
9;13;21;28;45;6;7
4;13;28;37;38;7;8
2;4;14;26;29;6;7
12;14;17;27;43;1;7
4;9;26;32;40;3;5
3;13;41;46;49;3;8
19;28;29;34;44;1;5
10;12;14;30;43;2;5
4;30;32;41;50;5;7
5;12;21;43;48;5;6
1;22;27;37;50;5;7
22;31;37;38;41;2;6
8;19;22;32;40;1;8
17;18;22;24;25;1;6
11;14;19;23;49;4;5
14;16;28;44;48;3;7
6;9;31;33;35;1;7
4;6;10;13;32;1;8
2;4;9;20;41;3;5
5;9;12;23;40;2;7
6;9;11;29;35;2;6
1;25;46;47;48;3;8
5;14;21;23;50;2;7
6;8;23;33;49;3;8
15;16;17;19;50;5;7
7;27;33;47;48;2;7
7;18;19;33;37;2;5
4;13;19;25;43;3;4
14;23;29;33;37;2;5
7;26;32;34;49;1;6
5;32;33;38;49;3;8
4;10;25;30;47;2;3
6;9;10;17;43;2;8
3;7;20;32;44;4;5
3;10;18;31;43;1;7
2;6;15;18;24;5;7
6;10;21;34;36;1;4
1;7;16;21;48;1;8
2;11;23;29;34;7;8
7;22;24;25;41;1;3
9;25;39;41;46;2;8
7;10;13;26;27;5;8
18;25;28;34;42;3;4
3;19;32;43;48;4;8
1;38;39;42;47;1;2
17;25;32;35;45;4;7
1;8;18;25;47;2;7
9;19;24;28;49;2;8
9;12;22;37;40;6;8
2;15;33;40;43;3;7
1;16;34;36;37;4;6
8;18;22;33;40;2;8
4;7;17;25;29;2;4
4;28;30;36;46;3;7
12;17;29;39;40;5;6
16;18;20;36;49;3;4
19;21;22;28;45;6;7
2;4;21;30;41;7;8
2;17;21;22;45;1;5
7;14;15;20;39;1;8
6;7;9;13;30;4;7
8;18;35;38;42;4;6
10;32;35;38;45;4;5
10;16;28;30;33;4;6
1;7;14;22;44;1;2
12;32;40;44;49;2;3
4;7;10;39;48;3;4
9;31;32;33;34;6;8
1;11;14;22;43;3;4
9;28;36;42;43;2;8
6;21;33;37;47;7;8
7;17;25;26;35;4;7
6;9;19;37;38;4;8
1;8;15;18;39;1;6
6;10;23;33;41;6;8
11;33;35;42;44;4;6
3;10;11;13;42;1;8
3;10;16;35;45;4;6
6;11;15;18;45;5;8
3;10;36;43;47;2;5
5;18;33;38;47;3;6
15;19;21;34;40;3;4
17;38;41;43;47;4;6
19;20;40;42;47;2;8
1;8;9;12;37;2;6
26;31;33;39;40;5;6
2;9;17;25;29;3;5
13;18;20;38;39;1;8
8;26;32;44;50;4;7
8;15;34;44;49;4;8
11;17;20;22;29;4;6
14;24;27;35;39;7;8
3;15;22;26;37;2;4
3;7;27;43;46;3;8
5;13;25;33;35;4;8
22;25;41;45;49;2;5
4;18;35;41;43;4;5
6;16;18;29;35;6;9
11;25;32;42;47;4;9
1;8;15;19;37;7;9
10;11;25;32;49;5;9
2;21;30;39;43;5;7
16;29;38;42;48;5;6
13;19;20;27;41;5;9
