No1;No2;No3;No4;No5;No6;No7;No8;No9;No10;No11;No12;No13;No14;No15;No16;No17;No18;No19;No20
3;7;9;10;14;18;26;27;28;32;36;38;42;47;48;52;61;64;68;70
1;2;7;11;17;19;20;35;36;39;44;50;51;53;55;58;60;66;67;70
5;9;10;11;16;19;22;23;25;34;37;40;42;43;47;56;57;58;61;67
2;3;8;11;14;15;19;22;27;31;36;38;42;43;52;56;59;63;65;67
1;4;6;7;12;14;18;22;27;41;44;45;48;49;52;53;54;57;58;68
1;4;6;7;8;14;15;18;19;22;24;42;44;45;53;58;59;65;67;70
2;3;9;14;20;23;24;28;30;41;46;51;53;54;55;57;58;65;68;70
3;5;7;10;14;16;18;19;26;29;32;33;36;37;58;61;66;67;68;70
2;7;11;12;14;16;17;21;22;27;28;35;44;48;51;52;56;62;65;67
4;6;7;8;13;14;16;20;21;24;25;29;36;37;48;52;55;58;66;69
1;3;5;9;14;20;21;24;28;31;32;36;37;41;47;48;52;54;68;70
2;10;11;15;17;18;20;24;25;34;45;46;47;49;51;60;62;63;65;68
3;7;9;16;17;18;25;26;27;28;35;39;41;47;49;53;55;64;67;68
1;2;10;13;16;17;18;21;25;26;27;32;35;36;38;54;57;60;62;69
2;3;5;8;14;18;20;21;26;35;36;41;42;43;51;56;58;59;62;69
6;8;10;12;13;15;17;18;19;23;24;29;39;46;49;51;53;56;59;65
1;3;9;10;15;17;18;24;32;34;43;44;46;48;49;57;58;59;63;70
2;4;12;13;14;15;19;26;28;30;31;34;36;40;41;44;46;51;60;66
5;9;16;19;20;22;35;36;38;40;44;45;55;56;60;61;62;63;68;69
2;4;5;7;9;13;15;24;25;33;34;35;42;43;53;54;61;67;69;70
2;7;19;28;31;32;34;42;43;45;46;48;50;54;55;61;62;63;64;65
1;4;10;15;19;20;22;34;37;44;45;48;50;54;55;56;57;60;62;70
5;10;11;12;13;15;16;19;27;32;36;38;42;43;49;54;55;67;68;69
1;2;3;7;10;17;18;20;21;25;28;31;33;34;41;49;52;54;58;68
1;4;10;11;13;15;26;27;28;35;37;43;49;53;54;58;63;66;69;70
2;7;10;11;17;18;29;32;33;37;44;45;49;50;53;57;61;62;64;66
2;4;12;16;19;20;21;22;25;29;38;41;42;46;50;54;60;64;65;69
3;5;7;10;12;13;17;19;23;25;28;37;40;44;47;54;59;64;65;69
5;14;18;22;25;26;27;28;29;34;39;44;45;50;52;61;62;63;65;68
3;7;9;10;12;18;19;25;26;35;48;51;53;54;55;57;59;60;64;67
2;8;18;19;23;24;33;38;39;40;43;45;48;50;52;57;58;62;63;65
6;7;12;24;26;27;31;32;35;41;45;47;48;54;55;57;58;61;67;70
2;4;5;6;8;9;13;15;25;31;36;37;40;50;51;52;55;56;57;64
2;3;9;15;21;24;27;31;32;36;42;43;44;46;49;54;58;59;66;67
4;7;8;14;23;27;29;30;34;41;43;45;46;49;50;54;55;57;58;65
1;2;5;6;11;19;21;28;30;31;32;35;43;44;46;52;56;62;64;65
1;5;11;15;19;24;25;26;32;36;39;40;49;52;53;55;57;60;64;67
2;7;9;11;14;19;24;28;29;30;33;38;39;42;44;52;55;60;64;65
2;6;7;8;13;14;19;20;27;35;39;41;45;51;52;56;61;62;69;70
6;9;10;16;24;27;29;31;32;33;34;35;38;40;45;49;56;68;69;70
3;4;5;10;11;13;14;18;27;30;33;40;45;47;49;52;54;55;59;68
2;7;9;10;19;20;25;28;34;35;36;37;43;45;54;56;60;62;67;69
1;8;10;12;14;15;18;20;31;37;38;41;42;44;47;49;55;61;65;70
11;15;19;21;24;25;27;28;30;32;34;39;43;47;49;54;55;64;65;66
2;3;5;8;9;12;13;14;15;22;27;31;34;36;39;46;54;58;63;69
2;6;13;14;15;20;21;27;28;35;36;37;43;44;47;52;57;64;65;67
1;2;4;7;9;17;18;24;25;29;30;37;38;39;53;57;60;61;64;68
9;11;12;15;20;21;23;27;29;31;32;33;36;45;48;50;55;62;64;68
3;6;7;9;12;17;23;27;34;35;42;48;55;57;59;60;61;62;64;70
9;10;12;14;20;23;26;28;29;30;37;43;47;50;53;55;57;58;63;70
1;2;3;4;7;10;15;16;18;19;25;29;39;43;44;47;53;55;66;68
1;6;8;13;18;19;20;21;22;23;29;40;42;46;48;58;59;64;65;69
1;2;6;8;13;25;26;32;38;39;40;41;46;47;54;55;63;65;67;68
3;4;8;11;15;16;22;26;29;40;52;53;56;58;59;61;62;63;65;68
2;5;7;8;20;21;23;26;28;29;30;35;40;41;42;44;47;55;58;70
2;3;8;9;13;14;15;18;21;26;28;40;47;49;51;55;57;59;67;69
1;2;5;15;16;17;20;29;31;33;36;39;43;46;53;58;60;62;65;70
2;6;7;10;13;14;20;22;24;32;35;40;42;43;44;45;46;51;57;64
2;7;10;11;17;18;21;26;28;31;36;38;50;51;58;59;65;66;67;69
3;4;9;10;15;17;19;23;27;31;32;34;40;41;45;46;49;60;65;69
4;5;6;9;18;19;20;30;40;43;44;46;49;53;54;61;64;65;67;70
1;9;14;16;18;19;21;26;29;34;37;39;46;52;54;56;62;63;67;70
2;4;5;10;11;14;16;21;24;37;38;44;50;51;54;62;63;64;68;69
4;5;6;10;11;12;14;23;35;37;40;42;43;45;46;47;52;53;59;62
2;4;7;14;16;19;20;25;28;39;44;45;48;49;51;58;63;65;67;70
2;4;7;19;20;23;24;31;34;52;54;56;57;59;60;62;63;64;69;70
1;6;10;12;19;31;33;35;36;40;42;45;49;53;54;55;58;60;68;69
5;8;19;26;27;28;30;34;37;39;47;49;50;58;59;61;62;66;67;69
4;6;7;12;17;21;26;33;37;38;41;42;43;46;48;59;60;61;64;67
2;3;5;6;7;8;15;16;17;19;25;31;40;46;49;51;52;56;61;68
2;4;6;8;9;12;14;16;22;23;33;44;46;47;50;56;61;63;67;69
3;8;10;11;13;14;15;22;23;25;32;43;44;47;51;52;54;62;63;64
1;5;7;9;11;13;15;20;25;30;37;44;46;47;48;49;53;59;61;68
2;3;8;10;15;17;18;20;26;34;42;44;45;50;52;56;57;59;62;67
1;11;17;19;20;31;32;37;38;41;42;46;48;49;50;52;60;62;64;67
8;11;12;13;15;16;19;25;29;31;32;40;42;43;44;46;48;53;57;60
2;7;13;14;15;16;17;18;19;24;29;44;45;49;50;55;57;60;67;70
5;8;10;15;17;18;25;32;36;38;41;45;48;52;53;54;57;58;62;68
5;6;11;13;15;20;25;28;29;31;34;35;41;48;49;55;59;62;66;67
4;12;13;18;20;26;32;34;35;36;50;53;55;56;58;60;63;67;68;70
2;6;11;17;19;21;22;28;30;33;38;51;52;55;56;58;59;61;64;67
1;3;8;16;23;26;27;30;32;33;40;41;42;44;47;49;53;59;67;69
3;10;16;29;31;32;37;39;41;42;43;44;45;46;47;53;56;59;61;69
1;2;7;13;17;18;19;24;27;29;33;34;38;39;44;49;51;56;57;65
1;9;14;17;18;19;21;24;35;37;39;43;46;47;51;52;56;58;59;69
2;4;10;14;17;22;26;34;35;37;38;40;42;46;51;52;55;57;63;66
6;7;9;10;11;13;20;21;26;29;30;34;35;37;49;55;56;60;61;68
1;3;10;15;16;17;19;20;22;34;37;38;45;53;56;57;61;64;68;69
2;6;9;13;23;25;27;29;30;31;32;33;43;47;48;59;61;67;68;69
2;4;8;14;19;20;22;28;30;34;35;36;38;40;44;46;47;52;63;67
3;6;7;12;19;21;22;32;34;35;37;44;47;51;57;64;66;67;68;69
1;4;9;11;16;17;18;19;24;25;26;36;39;40;41;43;45;65;66;69
1;5;9;11;15;18;21;22;27;28;33;37;39;45;51;53;58;61;63;65
1;9;11;13;14;17;22;25;26;27;29;31;34;39;47;56;59;62;67;70
3;5;6;17;20;30;32;39;43;44;52;56;57;58;59;60;64;66;68;69
1;9;11;18;24;25;27;30;36;37;39;40;44;48;50;51;54;55;57;70
4;8;17;18;19;20;21;26;28;31;37;41;43;49;52;53;54;55;59;68
2;6;8;16;17;20;21;25;31;35;41;43;44;46;47;58;60;65;66;68
2;4;14;19;21;23;27;29;30;31;35;38;43;48;49;54;57;60;63;69
4;5;7;20;22;27;31;34;35;46;48;51;52;53;55;58;60;63;64;65
7;8;9;10;11;12;13;20;26;27;36;37;40;45;46;47;49;53;64;68
1;5;15;20;22;23;30;33;35;38;40;44;45;47;48;51;53;55;61;68
2;3;4;6;10;12;16;20;23;25;40;42;48;55;56;57;63;67;68;70
3;6;8;13;16;22;24;29;30;31;35;38;39;46;49;57;58;65;66;69
2;4;17;18;25;27;34;35;37;38;39;40;47;51;52;55;62;64;66;67
1;2;4;7;8;9;12;14;19;22;44;51;52;55;56;59;61;63;65;69
6;7;21;22;25;26;28;29;32;35;38;42;46;52;57;58;60;63;68;70
2;4;5;7;8;14;18;22;25;27;28;29;32;34;39;41;56;65;67;68
4;10;14;15;16;22;30;35;36;39;45;50;51;52;53;56;58;61;63;69
7;10;18;22;23;24;30;32;38;42;46;47;50;53;54;57;62;63;67;70
6;8;9;12;18;19;25;34;35;36;46;47;50;52;55;60;64;66;67;69
3;4;8;9;15;16;18;22;28;34;36;40;42;43;44;54;56;61;67;68
1;9;10;11;12;14;19;22;25;35;39;46;47;48;52;55;56;57;61;66
5;6;12;17;19;25;33;34;37;39;40;50;51;54;57;62;64;66;67;68
7;10;11;13;14;15;18;23;28;29;34;39;43;46;51;53;56;60;64;70
1;2;4;10;15;18;28;30;32;33;34;36;37;38;39;40;50;56;66;67
2;4;6;10;13;18;22;26;32;34;37;38;39;41;44;49;53;59;63;70
1;2;4;10;12;14;19;22;25;27;29;35;37;39;44;52;65;66;69;70
1;4;6;14;17;18;19;24;29;30;31;33;37;38;40;46;53;57;63;68
9;10;15;16;20;25;26;28;30;31;32;36;39;45;49;52;55;60;61;63
1;2;3;6;15;17;18;25;29;30;40;41;42;47;48;50;51;57;58;65
1;4;6;10;16;17;19;24;26;30;33;37;45;47;50;51;59;60;64;70
10;17;22;24;25;28;30;31;38;42;47;49;52;56;59;60;64;65;66;70
1;4;8;9;11;15;18;21;23;32;38;44;45;50;51;52;57;58;68;70
7;14;15;31;33;34;36;39;43;46;47;51;52;56;60;65;66;67;69;70
2;8;9;14;18;19;29;30;33;38;42;52;55;56;57;58;59;66;68;70
3;5;12;15;16;18;21;34;38;40;43;44;46;50;56;58;60;61;62;68
7;8;15;21;22;26;27;38;41;42;47;49;51;52;54;56;60;63;66;68
1;2;3;12;14;16;18;23;31;32;33;35;36;40;47;51;52;63;65;70
2;4;5;6;7;8;13;17;20;26;27;36;41;57;60;63;64;67;69;70
4;11;13;22;24;25;27;29;39;41;43;45;49;50;51;53;54;56;57;62
1;3;9;15;17;19;22;30;37;38;44;45;49;52;56;60;61;64;65;67
3;8;9;11;13;20;21;23;29;36;40;42;45;47;51;56;60;61;63;69
4;9;12;16;21;22;23;24;33;34;35;38;39;45;47;52;53;55;59;65
2;4;10;11;14;18;20;25;27;29;34;35;36;38;43;48;50;64;68;69
2;5;6;10;15;23;27;34;35;37;41;48;49;54;55;58;65;68;69;70
3;7;12;17;19;23;29;32;33;35;41;49;53;55;57;59;62;63;67;68
1;3;4;6;17;20;25;29;34;37;40;44;48;51;52;55;57;59;61;67
1;13;14;15;17;25;28;29;30;38;48;51;54;57;58;59;64;65;69;70
3;7;9;12;19;20;22;24;26;30;31;33;37;40;45;48;58;66;67;70
3;5;7;13;21;22;23;24;31;36;37;39;42;44;46;49;53;55;56;65
3;5;6;9;11;15;27;28;34;35;36;41;45;46;47;49;56;57;59;68
1;2;3;4;8;9;11;12;26;27;28;31;38;43;49;50;53;60;66;69
3;5;6;20;21;28;31;33;38;39;40;41;44;45;50;58;61;64;67;68
1;8;11;12;15;17;24;26;31;34;35;37;44;45;52;55;58;62;63;66
2;7;8;9;19;20;22;23;26;27;28;31;34;42;43;50;54;56;60;70
1;4;5;6;7;16;20;24;28;29;30;36;43;44;49;54;58;61;63;69
3;6;7;14;16;18;19;23;28;32;34;42;45;47;48;50;55;58;59;64
3;6;11;13;18;19;24;27;32;38;39;40;42;46;49;51;52;60;63;67
1;3;4;13;15;16;17;21;24;26;31;32;33;38;39;40;57;58;63;69
2;5;18;19;25;27;28;29;33;39;44;46;48;49;50;51;54;61;62;68
3;4;8;18;19;22;25;28;30;32;38;41;42;44;45;49;56;58;64;67
1;2;9;11;13;16;18;19;22;32;33;35;37;42;46;47;54;63;65;67
2;22;23;25;26;27;28;30;31;32;36;43;47;50;51;57;61;67;68;69
3;4;6;7;10;12;14;17;20;30;32;41;43;44;45;54;56;59;62;68
1;2;5;7;8;14;15;18;21;35;37;42;44;51;52;58;61;65;69;70
3;4;5;6;10;11;16;21;32;42;43;44;50;53;54;56;57;59;61;63
1;2;3;4;6;9;10;12;18;23;30;32;33;35;37;42;51;58;60;65
1;6;8;10;12;18;25;28;31;35;37;39;40;42;47;49;58;61;67;68
4;7;11;16;17;20;24;26;34;37;40;47;50;51;56;60;64;67;68;69
6;16;17;22;23;24;31;33;41;42;44;49;53;55;56;57;60;61;63;70
6;7;18;21;26;32;33;40;41;45;48;53;59;60;64;65;66;67;69;70
5;6;15;17;24;25;32;34;36;38;41;42;44;45;47;53;55;56;61;66
1;8;13;16;18;23;29;35;36;37;40;44;47;48;51;52;54;56;58;65
3;4;7;9;11;17;19;22;24;37;40;45;46;47;51;53;54;58;59;62
2;3;4;7;9;10;11;27;33;34;38;44;45;50;52;55;57;58;62;65
6;7;13;16;17;19;20;29;32;34;41;44;45;47;50;51;58;61;65;69
2;6;8;12;15;16;20;22;23;25;27;30;31;35;38;44;53;57;60;69
2;4;5;11;14;16;21;23;25;31;32;37;42;44;45;47;51;53;61;69
1;3;6;7;8;10;16;17;19;21;23;25;26;29;43;56;58;61;67;68
1;7;14;15;19;20;25;28;32;34;43;44;50;55;57;64;65;66;68;70
3;4;5;8;10;11;12;15;16;20;31;36;37;38;43;45;51;53;56;68
