Nro1;Nro2;Nro3;Nro4;Nro5;Nro6
1;2;8;14;15;24
3;4;8;17;28;34
4;6;8;10;36;43
8;9;11;24;33;40
8;14;27;31;36;46
8;17;24;28;35;40
4;27;29;32;35;43
23;26;33;35;41;42
4;15;18;26;28;42
6;8;16;19;21;32
10;14;16;32;36;41
3;14;21;40;43;48
2;9;15;16;40;43
5;14;18;19;41;42
8;9;11;30;33;37
1;7;30;38;44;48
2;11;14;20;24;26
2;23;26;38;40;44
11;20;26;27;29;32
17;19;33;37;42;46
5;7;10;28;32;39
20;22;24;32;37;47
9;11;16;19;43;46
8;13;16;21;27;31
3;9;13;15;36;44
2;11;23;30;40;44
8;20;25;31;39;43
3;23;26;28;29;46
5;24;25;37;40;43
2;16;26;35;37;40
8;13;16;18;32;41
2;6;19;30;41;48
1;6;13;27;40;41
14;23;27;34;35;42
2;23;28;35;47;48
8;11;14;28;31;33
9;18;21;38;41;48
14;34;37;39;40;44
1;14;16;17;26;45
13;32;33;37;40;45
4;14;17;30;35;37
7;23;26;27;35;44
8;18;24;35;46;47
8;11;8;14;22;32
8;19;29;40;41;48
11;15;23;31;32;37
21;28;29;31;39;48
1;6;23;28;44;47
1;21;24;25;27;48
13;16;26;35;42;46
1;14;18;33;39;41
2;7;9;17;19;45
11;13;18;33;40;43
3;9;11;41;42;45
3;8;16;23;27;42
2;25;32;33;40;42
3;5;9;16;23;47
5;17;26;31;34;45
2;22;39;45;46;48
7;9;10;32;33;47
6;9;15;25;32;33
7;10;19;23;33;42
2;4;9;16;17;44
9;23;25;35;40;44
7;16;17;24;39;41
4;8;14;22;35;43
9;27;31;37;42;48
7;14;21;22;34;47
1;4;19;30;32;36
1;8;13;15;20;47
21;22;31;36;44;48
8;8;20;21;38;41
3;19;24;26;39;44
1;14;22;23;37;39
2;13;27;28;41;43
3;10;15;22;35;41
5;9;18;24;32;43
1;3;5;19;25;31
24;25;30;39;42;48
6;13;24;33;36;40
7;14;24;30;45;46
7;18;24;33;41;48
2;9;11;8;30;34
4;5;7;37;39;46
21;26;29;36;42;47
1;7;23;31;43;46
6;27;32;42;46;47
8;14;26;32;35;37
6;8;23;28;34;48
15;16;21;25;30;46
11;16;18;22;26;30
8;16;23;28;38;39
2;5;9;19;29;32
6;8;20;21;30;38
3;10;13;23;27;35
1;3;5;32;36;44
3;4;10;19;22;44
3;22;25;27;31;46
4;19;23;35;38;43
18;21;24;26;44;46
3;8;17;28;32;38
2;4;11;17;24;32
3;9;15;19;41;43
8;17;25;29;32;36
3;4;7;11;18;42
2;8;21;24;26;39
34;39;40;41;44;48
4;5;21;39;42;46
2;8;15;21;25;45
10;23;30;31;45;47
9;15;28;39;41;46
8;16;25;27;43;46
10;33;36;37;41;48
6;13;14;20;45;47
2;14;16;36;41;44
2;8;13;29;43;47
22;29;33;39;40;46
3;25;26;27;28;41
1;3;7;20;21;27
5;6;11;27;41;46
4;9;8;16;31;34
10;11;14;15;39;44
8;13;22;28;37;44
5;21;24;27;29;45
14;21;23;24;25;26
5;8;16;21;33;35
13;18;19;20;36;42
1;10;31;40;41;44
7;21;24;26;28;38
2;8;8;21;29;46
18;25;26;29;31;40
4;5;30;32;35;44
2;18;33;39;43;45
17;21;26;29;38;47
9;13;18;36;45;48
16;19;30;34;41;44
11;8;16;30;40;44
2;11;21;22;44;47
7;8;17;18;28;39
13;17;26;30;32;38
16;23;34;36;37;44
4;8;13;16;21;46
17;28;37;44;45;46
2;6;19;25;27;42
4;10;11;13;32;38
13;20;22;26;30;31
8;28;30;35;41;48
5;7;18;25;34;47
2;10;31;32;44;45
5;11;8;14;30;44
15;27;38;41;42;44
11;18;25;28;38;47
2;6;9;11;18;22
2;5;10;18;20;33
9;17;20;23;24;31
6;8;9;25;33;34
3;31;33;40;42;48
2;8;17;22;29;47
3;6;8;16;37;41
2;11;22;29;33;34
5;10;15;16;42;45
13;28;31;33;35;36
2;3;14;15;36;37
2;5;18;19;32;43
4;16;22;37;40;47
6;18;24;28;39;43
6;11;14;20;25;46
2;8;18;27;33;36
1;3;22;24;25;27
17;20;24;33;42;47
11;19;31;37;42;44
3;7;21;24;41;46
5;9;29;30;41;47
4;8;16;20;25;31
4;15;27;35;41;43
3;7;25;30;39;42
16;24;32;33;42;47
8;15;24;28;41;42
9;11;21;32;39;41
11;13;14;23;38;45
1;19;22;28;30;47
4;25;31;35;36;38
9;10;25;33;43;46
7;8;30;34;37;44
4;7;8;9;13;19
3;34;39;40;41;43
17;19;21;32;36;38
4;8;13;21;39;41
3;6;18;21;29;42
8;13;18;22;30;32
6;35;41;42;43;45
9;11;27;32;40;41
21;27;35;36;42;46
21;27;31;39;41;46
9;10;15;24;28;45
2;11;18;35;40;48
5;21;31;33;34;44
5;10;13;33;36;42
2;6;11;21;23;31
3;7;11;8;29;35
8;20;22;24;41;43
4;9;23;26;31;32
5;22;36;42;44;47
1;2;8;21;37;41
2;5;23;24;25;26
5;19;21;31;32;33
7;10;36;38;44;48
17;18;22;25;28;47
7;9;31;39;41;48
3;7;14;23;31;41
1;6;11;18;29;33
1;22;24;28;31;42
6;18;25;29;30;39
8;33;40;41;43;46
3;16;24;26;35;36
17;18;22;25;30;42
1;14;17;20;22;31
15;27;32;40;41;46
9;17;29;37;39;40
10;11;14;27;31;32
7;32;35;41;45;46
3;6;21;24;32;47
1;14;17;35;36;47
